                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.606,                 3.0384,                 1.3699,                0.07379,                 0.9939,                0.88851,                0.43881,                 1.5599,                 2.5274,                 1.4385,               0.076978,              0.0098667,              0.0098667
                      2,                 1.6178,                 1.9185,                 1.3304,                 0.6746,                0.59756,                0.64501,                0.28806,                 1.6213,                 1.9347,                 1.3659,               0.053448,                0.01967,                0.01967
                      3,                 1.7652,                 2.1806,                 1.4568,                0.08708,                0.08537,                 0.0454,                0.01849,                 2.4569,                 3.4772,                 2.2039,                0.02972,               0.029275,               0.029275
                      4,                 1.7536,                 2.2146,                   1.45,                0.72336,                 0.7378,                0.77865,                0.35811,                 1.6413,                 6.0708,                 1.5767,               0.029109,               0.029109,               0.029109
                      5,                 1.6927,                 1.7377,                 1.3764,                0.82219,                0.61585,                0.69813,                0.34309,                 1.8069,                 1.7143,                 1.6375,               0.029109,               0.029109,               0.029109
                      6,                 1.6134,                  1.407,                 1.3898,                0.80669,                0.83968,                0.83281,                0.36234,                 1.6886,                 1.4252,                 1.5462,               0.028812,               0.028812,               0.028812
                      7,                 1.5807,                 1.1305,                 1.3308,                0.84303,                0.67073,                0.76851,                0.37072,                 1.7538,                 1.4655,                 1.5614,               0.028515,               0.028515,               0.028515
                      8,                 1.5742,                0.96085,                 1.3465,                0.85825,                0.89634,                0.87146,                0.38979,                 1.7055,                 1.0049,                 1.5832,               0.028218,               0.028218,               0.028218
                      9,                 1.5719,                0.97073,                  1.348,                 0.8747,                0.85366,                0.86781,                0.35656,                 1.7996,                 1.0265,                 1.6543,               0.027921,               0.027921,               0.027921
                     10,                 1.5498,                0.90612,                 1.3189,                0.90347,                0.92073,                0.94895,                0.50053,                 1.6531,                0.82935,                 1.4968,               0.027624,               0.027624,               0.027624
                     11,                 1.5545,                0.90187,                 1.3365,                0.88818,                0.92026,                0.90209,                0.37342,                 1.8438,                0.88791,                 1.6653,               0.027327,               0.027327,               0.027327
                     12,                 1.5523,                0.85254,                 1.3211,                0.91921,                0.95122,                 0.9675,                0.43453,                 1.7185,                 0.8285,                 1.5619,                0.02703,                0.02703,                0.02703
                     13,                 1.5071,                0.81441,                 1.2969,                0.95881,                0.85155,                0.93516,                0.48923,                 1.6048,                0.85987,                 1.4574,               0.026733,               0.026733,               0.026733
                     14,                 1.4917,                0.79892,                 1.2835,                0.93254,                0.85976,                0.93886,                0.47001,                 1.6358,                0.85463,                 1.5037,               0.026436,               0.026436,               0.026436
                     15,                 1.5151,                0.81068,                 1.3041,                0.94455,                0.83102,                0.90137,                0.46598,                 1.6043,                0.90759,                 1.4715,               0.026139,               0.026139,               0.026139
                     16,                 1.4816,                0.79314,                 1.2805,                0.96924,                0.91463,                0.95191,                0.48471,                 1.6979,                0.72271,                 1.5333,               0.025842,               0.025842,               0.025842
                     17,                 1.4534,                  0.749,                 1.2776,                0.96839,                0.92683,                0.96265,                0.45444,                 1.7555,                0.71118,                 1.6158,               0.025545,               0.025545,               0.025545
                     18,                 1.4742,                0.73315,                 1.2805,                0.91128,                0.90244,                0.90896,                0.36093,                  1.872,                0.86017,                 1.6736,               0.025248,               0.025248,               0.025248
                     19,                 1.4785,                0.73476,                 1.2956,                0.98204,                0.96951,                0.97227,                0.43815,                 1.7018,                 0.6972,                 1.5375,               0.024951,               0.024951,               0.024951
                     20,                 1.4663,                0.72925,                 1.2742,                0.96576,                0.94512,                0.97638,                0.53046,                 1.5523,                 0.6654,                 1.4109,               0.024654,               0.024654,               0.024654
                     21,                 1.4512,                0.70919,                  1.281,                0.94914,                0.92073,                0.97119,                0.44398,                 1.6703,                0.72545,                 1.5439,               0.024357,               0.024357,               0.024357
                     22,                 1.4613,                 0.7278,                 1.2995,                0.93229,                0.92353,                0.95612,                0.46708,                 1.6982,                0.72871,                 1.5307,                0.02406,                0.02406,                0.02406
                     23,                 1.4545,                0.72281,                 1.2934,                0.96572,                0.94512,                0.97218,                0.43337,                 1.7469,                0.74119,                 1.5573,               0.023763,               0.023763,               0.023763
                     24,                  1.446,                0.70779,                 1.2928,                0.95703,                 0.9507,                0.96376,                0.42033,                 1.8458,                0.68226,                 1.6752,               0.023466,               0.023466,               0.023466
                     25,                 1.4305,                0.69379,                 1.2895,                0.96986,                0.93902,                0.96685,                0.50575,                 1.5856,                0.68766,                   1.44,               0.023169,               0.023169,               0.023169
                     26,                 1.4019,                0.67627,                 1.2692,                0.95604,                0.94512,                0.95834,                0.43927,                 1.7589,                0.69223,                 1.5954,               0.022872,               0.022872,               0.022872
                     27,                 1.4281,                0.67267,                 1.2621,                0.94646,                0.91463,                0.95486,                0.50363,                  1.575,                0.66161,                  1.446,               0.022575,               0.022575,               0.022575
                     28,                 1.4252,                0.65469,                 1.2718,                0.96648,                0.95122,                0.97783,                0.48954,                 1.6527,                0.61099,                 1.5028,               0.022278,               0.022278,               0.022278
                     29,                 1.4069,                0.64916,                 1.2645,                0.96825,                 0.9298,                0.96343,                0.48477,                 1.6941,                0.65766,                 1.5542,               0.021981,               0.021981,               0.021981
                     30,                 1.4006,                0.64881,                 1.2562,                0.97247,                0.95732,                0.97654,                0.48594,                 1.6814,                0.61412,                 1.5201,               0.021684,               0.021684,               0.021684
                     31,                 1.3942,                0.64768,                 1.2625,                0.96676,                0.94512,                 0.9711,                0.46203,                 1.6905,                0.62362,                 1.5423,               0.021387,               0.021387,               0.021387
                     32,                 1.4156,                0.64032,                 1.2619,                0.91864,                0.92073,                0.93825,                0.44425,                 1.7776,                0.67376,                 1.6053,                0.02109,                0.02109,                0.02109
                     33,                 1.4036,                0.64165,                 1.2707,                0.96852,                0.94512,                0.95516,                0.45832,                 1.7128,                0.64256,                 1.5691,               0.020793,               0.020793,               0.020793
                     34,                 1.4002,                 0.6457,                 1.2652,                0.93445,                0.95614,                0.96324,                 0.4711,                  1.687,                 0.6261,                 1.5336,               0.020496,               0.020496,               0.020496
                     35,                 1.3963,                0.62491,                 1.2571,                0.97025,                0.94512,                0.97267,                0.46211,                 1.7277,                0.60971,                 1.6079,               0.020199,               0.020199,               0.020199
                     36,                 1.4025,                0.62697,                 1.2823,                0.96492,                0.92683,                0.95955,                0.48357,                 1.6599,                0.64281,                 1.5175,               0.019902,               0.019902,               0.019902
                     37,                 1.3985,                0.62107,                 1.2483,                0.95624,                0.89024,                0.92643,                0.45486,                 1.7141,                0.68084,                 1.5462,               0.019605,               0.019605,               0.019605
                     38,                 1.3969,                0.62643,                 1.2625,                0.97404,                0.91502,                0.96393,                0.44827,                 1.7614,                0.65861,                 1.5949,               0.019308,               0.019308,               0.019308
                     39,                 1.4005,                0.62602,                 1.2475,                0.95574,                0.95122,                0.96095,                0.48872,                 1.6461,                0.60456,                 1.5163,               0.019011,               0.019011,               0.019011
                     40,                 1.3808,                0.60671,                 1.2494,                0.97975,                0.92683,                0.97573,                0.48906,                 1.6587,                0.63035,                 1.5189,               0.018714,               0.018714,               0.018714
                     41,                 1.3593,                0.60154,                 1.2567,                0.94889,                0.92683,                0.95909,                0.46218,                 1.7188,                0.59974,                 1.5703,               0.018417,               0.018417,               0.018417
                     42,                 1.3571,                0.58691,                 1.2349,                0.95084,                0.94345,                0.95574,                0.45732,                 1.6843,                0.60394,                 1.5379,                0.01812,                0.01812,                0.01812
                     43,                 1.3513,                0.58192,                 1.2302,                0.96311,                0.95519,                 0.9722,                0.50181,                 1.6238,                0.57639,                 1.4837,               0.017823,               0.017823,               0.017823
                     44,                 1.3408,                0.58283,                 1.2304,                 0.9916,                0.94512,                0.97861,                0.46617,                 1.6667,                0.55115,                 1.5149,               0.017526,               0.017526,               0.017526
                     45,                  1.365,                0.57593,                 1.2413,                0.96712,                0.91463,                0.95401,                0.46417,                 1.6952,                0.61018,                 1.5363,               0.017229,               0.017229,               0.017229
                     46,                 1.3678,                0.58236,                 1.2494,                 0.9693,                0.96247,                0.97474,                0.48139,                  1.689,                0.58889,                 1.5516,               0.016932,               0.016932,               0.016932
                     47,                 1.3706,                0.58218,                 1.2542,                0.96701,                0.95732,                0.96998,                0.46207,                 1.7488,                0.57066,                 1.6041,               0.016635,               0.016635,               0.016635
                     48,                 1.3447,                0.57257,                 1.2253,                0.96075,                0.95122,                0.95201,                0.42636,                 1.8006,                0.61584,                 1.6337,               0.016338,               0.016338,               0.016338
                     49,                 1.3303,                0.56243,                 1.2261,                0.95783,                0.96936,                0.96298,                0.47131,                 1.7496,                0.57558,                 1.6009,               0.016041,               0.016041,               0.016041
                     50,                 1.3329,                0.56159,                 1.2193,                0.97482,                0.94423,                0.97014,                0.46618,                 1.7347,                0.57511,                 1.6029,               0.015744,               0.015744,               0.015744
                     51,                 1.3372,                 0.5616,                 1.2261,                0.98065,                0.97561,                0.96919,                0.48527,                 1.6664,                0.53246,                 1.5322,               0.015447,               0.015447,               0.015447
                     52,                 1.3226,                0.55061,                 1.2194,                 0.9799,                0.95732,                 0.9785,                  0.507,                 1.6522,                0.55854,                 1.5355,                0.01515,                0.01515,                0.01515
                     53,                 1.3202,                0.55863,                 1.2056,                0.96663,                0.95122,                0.95183,                0.42546,                 1.8255,                0.58981,                 1.6486,               0.014853,               0.014853,               0.014853
                     54,                 1.3166,                0.55389,                  1.221,                0.98741,                0.95673,                0.98051,                0.48873,                 1.6674,                0.53018,                 1.5431,               0.014556,               0.014556,               0.014556
                     55,                  1.317,                0.53458,                 1.2252,                0.97863,                0.96341,                0.97408,                0.47594,                 1.6516,                0.54517,                 1.5312,               0.014259,               0.014259,               0.014259
                     56,                 1.3022,                0.53478,                 1.2224,                0.97526,                0.96164,                0.97571,                0.49967,                 1.6358,                0.54204,                  1.516,               0.013962,               0.013962,               0.013962
                     57,                 1.3151,                0.52711,                 1.2064,                0.98069,                0.96341,                0.98166,                0.47122,                 1.7662,                0.56573,                 1.6328,               0.013665,               0.013665,               0.013665
                     58,                 1.3119,                0.53796,                 1.2131,                0.96856,                 0.9391,                0.97104,                0.48772,                 1.6885,                0.57321,                 1.5468,               0.013368,               0.013368,               0.013368
                     59,                 1.3002,                0.53339,                 1.2133,                 0.9738,                0.95732,                0.97057,                 0.4377,                 1.7905,                0.56885,                 1.6318,               0.013071,               0.013071,               0.013071
                     60,                 1.2828,                0.52627,                 1.1835,                0.95704,                0.96341,                0.95351,                0.45883,                 1.7282,                0.54768,                 1.6184,               0.012774,               0.012774,               0.012774
                     61,                 1.2898,                0.53532,                  1.203,                  0.958,                0.97355,                0.98066,                0.48836,                 1.6615,                0.53107,                 1.5487,               0.012477,               0.012477,               0.012477
                     62,                 1.2608,                0.51471,                  1.192,                  0.975,                0.97561,                0.98783,                0.50412,                 1.6548,                0.53976,                 1.5421,                0.01218,                0.01218,                0.01218
                     63,                 1.2982,                0.54026,                 1.2082,                0.95736,                0.92683,                0.95337,                0.46812,                 1.7728,                0.57215,                 1.6423,               0.011883,               0.011883,               0.011883
                     64,                 1.2669,                 0.5152,                 1.1881,                0.98066,                0.94512,                0.96066,                0.47532,                  1.702,                0.54155,                 1.5998,               0.011586,               0.011586,               0.011586
                     65,                 1.2559,                0.50703,                 1.1893,                0.97294,                0.95732,                0.96177,                 0.4655,                 1.7113,                0.53656,                 1.6315,               0.011289,               0.011289,               0.011289
                     66,                 1.2741,                0.50652,                 1.1879,                0.97453,                 0.9878,                0.98844,                0.51573,                 1.6352,                0.51441,                  1.516,               0.010992,               0.010992,               0.010992
                     67,                 1.2695,                0.52207,                 1.1918,                0.96608,                0.96341,                0.96409,                0.47392,                 1.7067,                0.54679,                 1.5962,               0.010695,               0.010695,               0.010695
                     68,                 1.2578,                0.50726,                 1.1885,                0.97528,                0.96225,                0.96922,                0.50027,                 1.6123,                0.52794,                 1.5215,               0.010398,               0.010398,               0.010398
                     69,                 1.2522,                0.50661,                 1.1882,                0.95705,                0.95122,                0.95819,                0.47167,                 1.7236,                0.56299,                 1.6272,               0.010101,               0.010101,               0.010101
                     70,                 1.2553,                0.49874,                 1.1814,                0.94255,                0.94512,                0.95675,                0.45706,                 1.7572,                 0.5603,                 1.6498,               0.009804,               0.009804,               0.009804
                     71,                 1.2375,                0.49983,                 1.1619,                0.94453,                0.93293,                0.94713,                 0.4469,                 1.7959,                 0.5712,                 1.6954,               0.009507,               0.009507,               0.009507
                     72,                 1.2568,                0.50208,                 1.1819,                0.98123,                0.95609,                0.96472,                0.47482,                 1.7528,                0.54713,                  1.632,                0.00921,                0.00921,                0.00921
                     73,                 1.2122,                0.48844,                 1.1647,                 0.9745,                0.96341,                0.96264,                0.47995,                 1.7284,                0.53153,                 1.6194,               0.008913,               0.008913,               0.008913
                     74,                 1.2061,                0.48746,                  1.167,                0.95417,                0.94512,                0.94988,                0.46042,                 1.7319,                0.53593,                 1.6518,               0.008616,               0.008616,               0.008616
                     75,                 1.2136,                0.48412,                 1.1577,                0.95487,                0.95122,                0.95894,                0.47639,                 1.7127,                0.52633,                 1.6241,               0.008319,               0.008319,               0.008319
                     76,                 1.2178,                0.48021,                 1.1646,                0.93926,                0.94287,                0.93809,                0.46294,                 1.7386,                0.53634,                 1.6559,               0.008022,               0.008022,               0.008022
                     77,                 1.2204,                0.47832,                 1.1731,                0.97575,                0.98138,                0.98757,                0.49146,                 1.6482,                0.51656,                 1.5814,               0.007725,               0.007725,               0.007725
                     78,                 1.1955,                0.47742,                 1.1497,                0.97354,                0.94512,                 0.9532,                0.47546,                 1.6921,                0.53733,                 1.6084,               0.007428,               0.007428,               0.007428
                     79,                 1.1831,                0.46568,                 1.1575,                0.93746,                0.93902,                0.94752,                0.45833,                  1.719,                0.54419,                  1.645,               0.007131,               0.007131,               0.007131
                     80,                 1.1887,                0.46942,                 1.1603,                 0.9552,                0.92683,                0.94024,                0.47555,                 1.6823,                0.53206,                 1.6018,               0.006834,               0.006834,               0.006834
                     81,                 1.1848,                0.46215,                 1.1484,                0.95698,                0.94942,                0.95493,                0.46794,                 1.6656,                0.52357,                 1.5898,               0.006537,               0.006537,               0.006537
                     82,                 1.1754,                0.46791,                 1.1468,                0.96318,                0.96341,                0.96822,                0.47226,                 1.7613,                0.53016,                 1.6718,                0.00624,                0.00624,                0.00624
                     83,                  1.192,                0.46677,                  1.159,                0.96238,                0.96341,                0.97013,                0.48413,                  1.725,                0.53822,                  1.616,               0.005943,               0.005943,               0.005943
                     84,                 1.1707,                0.45841,                 1.1449,                0.98115,                0.96341,                0.97711,                0.49245,                 1.6957,                0.51076,                 1.6023,               0.005646,               0.005646,               0.005646
                     85,                 1.1893,                0.46192,                 1.1539,                0.96762,                0.95732,                0.96253,                0.49606,                 1.6395,                0.49349,                 1.5751,               0.005349,               0.005349,               0.005349
                     86,                 1.1674,                0.46057,                 1.1422,                0.95699,                0.94977,                0.95319,                0.47792,                 1.7272,                0.53206,                 1.6364,               0.005052,               0.005052,               0.005052
                     87,                 1.1549,                0.44566,                  1.133,                0.96686,                0.95732,                0.96309,                0.47596,                 1.7353,                0.52128,                 1.6478,               0.004755,               0.004755,               0.004755
                     88,                 1.1493,                0.45188,                 1.1276,                0.94988,                0.94512,                0.93581,                0.46269,                 1.7325,                0.52864,                 1.6548,               0.004458,               0.004458,               0.004458
                     89,                 1.1476,                0.45086,                 1.1225,                0.95634,                0.94512,                0.95391,                0.48405,                 1.7481,                0.53476,                 1.6817,               0.004161,               0.004161,               0.004161
                     90,                 1.1513,                0.45526,                 1.1272,                0.96339,                0.96279,                0.95564,                0.48556,                 1.7058,                0.51945,                 1.6639,               0.003864,               0.003864,               0.003864
                     91,                 1.1355,                0.42196,                 1.1841,                0.96849,                0.96341,                0.96257,                0.47729,                 1.6938,                0.51204,                 1.6343,               0.003567,               0.003567,               0.003567
                     92,                 1.1367,                0.41191,                 1.1782,                0.96948,                0.96853,                0.97023,                0.48867,                 1.7058,                0.50133,                 1.6312,                0.00327,                0.00327,                0.00327
                     93,                 1.1197,                0.40636,                 1.1728,                0.96792,                0.96341,                 0.9676,                0.48479,                 1.7061,                0.50726,                 1.6282,               0.002973,               0.002973,               0.002973
                     94,                 1.1092,                0.41063,                 1.1675,                0.94407,                0.92635,                0.92351,                0.47257,                 1.7227,                0.52606,                 1.6597,               0.002676,               0.002676,               0.002676
                     95,                 1.1005,                0.39721,                 1.1468,                0.97511,                 0.9554,                0.96367,                0.48662,                 1.7098,                0.50354,                 1.6587,               0.002379,               0.002379,               0.002379
                     96,                 1.1092,                0.40146,                 1.1664,                0.98159,                0.97555,                0.97656,                0.49072,                 1.7038,                0.50776,                 1.6271,               0.002082,               0.002082,               0.002082
                     97,                 1.1088,                0.40041,                 1.1696,                0.97116,                0.96341,                0.96274,                0.48161,                 1.7192,                0.50833,                 1.6469,               0.001785,               0.001785,               0.001785
                     98,                 1.0911,                0.39066,                 1.1719,                0.96258,                0.95732,                0.95194,                0.47984,                  1.729,                0.51223,                 1.6656,               0.001488,               0.001488,               0.001488
                     99,                 1.0916,                0.39634,                 1.1578,                0.97475,                0.96951,                0.96972,                0.49628,                 1.6693,                0.48987,                 1.6161,               0.001191,               0.001191,               0.001191
                    100,                 1.0885,                0.39411,                 1.1572,                0.96219,                0.95732,                0.95594,                0.48615,                 1.6966,                0.50243,                 1.6446,               0.000894,               0.000894,               0.000894
