                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3738,                0.65408,                 1.0241,                 0.9568,                0.92683,                 0.9622,                0.49039,                 1.6537,                0.65616,                 1.1847,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3999,                 0.6752,                 1.0454,                0.95217,                0.94512,                0.96999,                0.50926,                 1.6012,                0.66741,                 1.1451,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3945,                0.66029,                   1.02,                0.92301,                0.95732,                0.94367,                0.48313,                 1.6643,                0.64635,                 1.1743,               0.001307,               0.001307,               0.001307
                     38,                 1.3767,                0.64551,                 1.0204,                0.93847,                0.93902,                0.94058,                0.46517,                 1.7035,                0.65107,                 1.2009,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4111,                0.65473,                 1.0252,                0.95949,                0.94512,                0.95659,                0.46719,                 1.6936,                0.67743,                 1.1938,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3872,                0.64801,                 1.0271,                0.96892,                0.95052,                0.95427,                0.46735,                   1.71,                0.67547,                 1.1987,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3687,                0.63232,                 1.0259,                0.95005,                0.92788,                0.96583,                0.50449,                 1.5727,                0.63116,                  1.148,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3407,                0.63388,                 1.0103,                0.98134,                0.96341,                 0.9704,                0.49651,                 1.6224,                0.62453,                 1.1581,               0.001208,               0.001208,               0.001208
                     43,                 1.3506,                0.62661,                 1.0118,                 0.9661,                0.96341,                0.97517,                0.51078,                 1.5803,                0.63266,                  1.146,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3531,                0.64588,                 1.0149,                0.88725,                0.95966,                 0.9206,                0.47054,                 1.5916,                0.64531,                 1.1444,              0.0011684,              0.0011684,              0.0011684
                     45,                   1.37,                0.61926,                 1.0299,                0.96075,                0.91463,                0.95099,                0.46253,                 1.7281,                0.66497,                 1.2114,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3393,                 0.6182,                 1.0182,                0.96834,                0.93251,                0.95535,                0.50696,                 1.6014,                0.60947,                 1.1466,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3579,                0.62572,                 1.0201,                 0.9067,                0.94807,                0.90455,                0.42013,                 1.7384,                0.68573,                 1.2343,               0.001109,               0.001109,               0.001109
                     48,                 1.3518,                0.62327,                 1.0078,                0.95762,                0.93293,                0.95935,                0.49099,                 1.6338,                0.62629,                 1.1743,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3497,                0.60652,                 1.0153,                0.94634,                0.94512,                0.95224,                 0.4862,                 1.6057,                0.61099,                 1.1482,              0.0010694,              0.0010694,              0.0010694
