                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.998,                 2.3406,                 1.1647,                0.95363,                0.70501,                0.69652,                0.70615,                0.25445,                0.53744,                0.52025,                0.44884,                0.12689,                 2.0389,                 2.3777,                 1.2279,                0.98669,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.9888,                 2.2984,                 1.1631,                0.95785,                0.67997,                0.66169,                0.71753,                 0.2693,                0.72461,                0.50249,                 0.6006,                0.19017,                 1.9747,                 2.3453,                 1.3108,                0.98324,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9866,                 2.2862,                 1.1138,                0.95942,                0.71975,                0.69637,                0.71378,                0.28306,                0.60662,                0.59701,                0.59275,                 0.1877,                 2.0129,                 2.5087,                 1.2311,                0.99045,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9506,                 2.3091,                 1.1192,                0.94908,                0.77654,                0.64677,                0.71632,                0.25873,                0.59288,                0.52985,                0.48701,                0.13284,                 2.0825,                 2.5494,                 1.3557,                0.99134,               0.001505,               0.001505,               0.001505
                     28,                 1.9566,                 2.2771,                 1.1163,                0.94311,                0.74413,                 0.6511,                0.70213,                0.26948,                 0.5885,                0.51493,                0.50204,                0.15038,                 2.0631,                  2.499,                 1.2249,                0.99432,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9128,                 2.2086,                 1.0856,                0.94262,                0.69711,                0.69274,                0.70703,                0.26745,                 0.5749,                0.56965,                0.53069,                0.15722,                 2.0138,                 2.4725,                 1.3076,                0.98823,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.9489,                 2.2503,                  1.105,                0.93212,                 0.7672,                0.64762,                0.71804,                 0.2796,                0.55671,                0.50249,                0.49602,                0.15554,                  1.968,                 2.5384,                 1.2498,                0.98153,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.9281,                 2.2458,                 1.0973,                 0.9412,                0.79585,                0.66915,                0.74058,                0.28329,                0.68444,                0.58458,                0.63708,                0.21543,                 1.9488,                 2.3473,                 1.2391,                 0.9848,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.9033,                 2.2145,                 1.0441,                0.94447,                0.73997,                0.62293,                0.71297,                0.26981,                0.58932,                 0.5597,                0.55068,                0.16754,                 2.0449,                 2.4797,                 1.2552,                0.99532,               0.001406,               0.001406,               0.001406
                     33,                 1.9178,                 2.1999,                  1.037,                0.93369,                0.76585,                0.68408,                0.74133,                0.27294,                0.65763,                0.57711,                 0.5739,                0.17236,                 2.0273,                 2.4399,                 1.1967,                0.99607,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.9305,                 2.2613,                 1.0824,                0.95032,                0.77891,                0.67164,                0.73892,                0.26335,                0.60386,                0.49674,                0.48964,                 0.1382,                 2.1223,                 2.5021,                  1.258,                 1.0058,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.9248,                 2.2277,                 1.0611,                0.92627,                0.77306,                0.66942,                0.75251,                0.29162,                0.60802,                0.58955,                0.55977,                0.17862,                 1.9854,                 2.3975,                 1.2173,                0.98753,              0.0013466,              0.0013466,              0.0013466
