                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.45346,                0.46569,                0.06849,                0.91791,                0.80924,                0.87731,                0.45933,                0.52745,                0.51795,                0.10612,               0.001307,               0.001307,               0.001307
                     38,                0.43332,                 0.4661,                0.06218,                0.89273,                0.88158,                0.91982,                0.48937,                0.45828,                0.54098,                0.08735,              0.0012872,              0.0012872,              0.0012872
                     39,                0.41693,                0.45242,                0.06106,                0.89987,                0.94604,                0.94475,                0.49154,                0.45443,                0.48816,                0.08989,              0.0012674,              0.0012674,              0.0012674
                     40,                0.40725,                0.44523,                0.06103,                0.88247,                 0.9386,                0.91489,                0.44193,                0.45769,                 0.5417,                0.09094,              0.0012476,              0.0012476,              0.0012476
                     41,                0.41682,                0.46419,                0.06227,                0.90895,                0.88158,                0.90643,                0.48076,                0.45647,                0.53159,                 0.0876,              0.0012278,              0.0012278,              0.0012278
                     42,                0.40819,                0.44281,                0.05941,                0.88258,                0.93956,                0.93908,                0.45533,                0.45052,                0.54265,                0.09082,               0.001208,               0.001208,               0.001208
                     43,                0.41388,                0.45317,                0.06063,                0.88796,                0.93851,                0.93184,                0.48977,                0.45166,                0.51643,                0.08445,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.3942,                0.43503,                0.05795,                0.91764,                0.95288,                0.94296,                0.48229,                0.43465,                0.51962,                0.08536,              0.0011684,              0.0011684,              0.0011684
                     45,                0.39813,                0.42767,                0.05975,                0.88866,                0.94518,                0.93847,                0.50381,                0.41387,                0.50463,                0.07822,              0.0011486,              0.0011486,              0.0011486
                     46,                0.39371,                0.42571,                0.05882,                0.91164,                0.95395,                0.94358,                0.44911,                0.46814,                 0.5192,                0.09331,              0.0011288,              0.0011288,              0.0011288
                     47,                0.40427,                0.43362,                0.06154,                  0.884,                0.95261,                0.92271,                 0.4613,                0.44765,                 0.5063,                0.08934,               0.001109,               0.001109,               0.001109
                     48,                0.40073,                0.43058,                0.05708,                0.88388,                0.91447,                0.89121,                0.36948,                0.51605,                 0.5249,                0.11151,              0.0010892,              0.0010892,              0.0010892
                     49,                0.43252,                0.44114,                0.06555,                0.91005,                0.94737,                0.94392,                0.52002,                 0.4303,                0.49598,                0.08162,              0.0010694,              0.0010694,              0.0010694
                     50,                0.39918,                 0.4283,                0.06009,                0.90114,                0.96053,                 0.9545,                0.47737,                0.44663,                 0.4976,                0.08743,              0.0010496,              0.0010496,              0.0010496
                     51,                0.39565,                0.42245,                0.05808,                0.89959,                0.94303,                0.94041,                0.48323,                0.41869,                0.51809,                0.08018,              0.0010298,              0.0010298,              0.0010298
                     52,                0.38979,                0.43451,                0.05758,                0.91213,                0.98026,                0.94418,                0.49432,                0.44523,                0.49447,                0.08484,                0.00101,                0.00101,                0.00101
                     53,                 0.4043,                 0.4236,                0.05909,                0.90157,                0.98026,                0.95496,                0.45423,                0.44823,                0.50561,                0.08692,              0.0009902,              0.0009902,              0.0009902
                     54,                0.37983,                0.42036,                0.05619,                 0.8955,                0.90205,                 0.9088,                0.47503,                0.48163,                0.54135,                0.11513,              0.0009704,              0.0009704,              0.0009704
                     55,                0.40172,                0.42889,                0.05699,                0.91275,                0.94737,                0.94253,                0.50027,                0.41529,                0.55735,                0.07954,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.3815,                0.42464,                0.05751,                0.89402,                0.94737,                0.92839,                0.46276,                0.44342,                0.51214,                0.08803,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.3873,                0.43486,                0.05645,                0.89584,                0.95395,                0.94882,                0.44952,                0.45248,                0.52035,                 0.0895,               0.000911,               0.000911,               0.000911
                     58,                0.38356,                0.42095,                0.05543,                 0.9074,                0.96698,                0.95271,                0.49357,                0.43544,                0.50525,                0.08515,              0.0008912,              0.0008912,              0.0008912
                     59,                0.38159,                0.42804,                0.05496,                0.90677,                0.95987,                0.95442,                0.46146,                  0.446,                0.53246,                 0.0895,              0.0008714,              0.0008714,              0.0008714
                     60,                0.37575,                0.42192,                0.05429,                 0.8894,                0.96711,                0.93808,                0.44443,                 0.4637,                0.51053,                0.09114,              0.0008516,              0.0008516,              0.0008516
                     61,                0.37775,                0.42362,                0.05728,                 0.8882,                0.94737,                0.91971,                0.43658,                0.46448,                0.49672,                0.09281,              0.0008318,              0.0008318,              0.0008318
                     62,                0.38047,                0.42302,                0.05462,                0.90659,                0.96053,                0.93577,                0.44492,                0.47014,                 0.5097,                0.09328,               0.000812,               0.000812,               0.000812
                     63,                0.38215,                0.41849,                0.05769,                0.88537,                 0.9655,                0.91587,                0.43859,                0.43844,                 0.5021,                 0.0881,              0.0007922,              0.0007922,              0.0007922
