                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5628,                 4.6952,                 1.2577,                0.00533,                0.87805,                0.66904,                0.25376,                 1.4909,                 6.3535,                 1.2813,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.4849,                 2.8468,                 1.2715,                0.93357,                0.82927,                0.93356,                0.45294,                 1.6455,                 2.0413,                 1.3918,              0.0013086,              0.0013086,              0.0013086
                      3,                 1.5147,                 2.1065,                  1.311,                0.96044,                0.86585,                0.94031,                0.46118,                 1.6705,                 1.7135,                 1.4358,              0.0019489,              0.0019489,              0.0019489
                      4,                 1.5117,                 1.6544,                 1.2962,                 0.9934,                0.91822,                0.95783,                0.47411,                 1.6224,                 1.5324,                 1.4287,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4344,                 1.2619,                 1.2493,                0.95667,                0.94243,                0.97288,                0.46743,                 1.6891,                0.92736,                 1.4295,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4705,                 1.1027,                 1.2752,                0.94359,                0.91794,                0.95956,                0.46835,                 1.6609,                0.99332,                 1.4426,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4497,                0.98339,                 1.2562,                0.93655,                0.92683,                0.94137,                0.42586,                  1.707,                0.93259,                 1.4658,               0.001901,               0.001901,               0.001901
                      8,                 1.4362,                0.91208,                 1.2613,                0.96244,                0.90854,                0.94731,                0.46181,                 1.6719,                0.82837,                 1.4183,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4603,                0.87578,                 1.2624,                0.94825,                0.92683,                 0.9541,                0.48276,                 1.6007,                0.76513,                 1.3998,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4489,                0.85002,                 1.2552,                0.95689,                0.94747,                0.96394,                0.48749,                 1.6848,                0.71835,                 1.4345,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4434,                0.80225,                 1.2618,                0.97482,                0.94421,                0.96901,                0.48827,                 1.6147,                0.71935,                 1.3856,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4324,                0.76767,                 1.2618,                0.95564,                0.95732,                0.96342,                0.50345,                 1.6092,                0.70712,                 1.3879,               0.001802,               0.001802,               0.001802
                     13,                 1.4013,                0.72612,                 1.2363,                0.98436,                0.94512,                0.97109,                0.47215,                 1.7314,                0.68341,                 1.4496,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4007,                0.70832,                 1.2348,                0.94391,                0.96341,                0.97261,                0.46955,                 1.7136,                0.70697,                 1.4341,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3823,                0.72039,                  1.238,                0.98097,                0.93902,                0.97661,                0.49617,                 1.6074,                0.65885,                 1.3705,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4313,                0.71961,                   1.26,                0.98004,                0.96341,                0.97741,                 0.4452,                 1.7692,                0.71788,                 1.4821,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3987,                 0.6864,                   1.24,                0.95494,                0.92073,                0.95026,                 0.4578,                 1.7558,                0.70034,                 1.5004,               0.001703,               0.001703,               0.001703
                     18,                 1.4137,                0.69853,                 1.2593,                0.98338,                0.94512,                0.95738,                0.43856,                 1.8042,                 0.7001,                 1.5022,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4003,                0.66315,                 1.2457,                 0.9619,                0.96341,                 0.9689,                0.46825,                 1.7483,                0.65079,                 1.4678,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3794,                0.65103,                 1.2382,                  0.978,                0.95732,                0.96516,                0.46311,                 1.7221,                0.61365,                 1.4635,              0.0016436,              0.0016436,              0.0016436
