                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3347,                0.56917,                 1.2034,                0.91163,                0.96711,                0.92567,                0.42541,                  1.769,                0.65777,                 1.4955,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3146,                0.57132,                 1.2054,                0.90122,                0.96711,                0.93273,                0.42842,                 1.7916,                0.64706,                 1.5231,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3227,                 0.5677,                 1.2058,                0.91055,                0.94079,                0.90269,                0.44317,                 1.7993,                0.64185,                 1.5232,               0.001307,               0.001307,               0.001307
                     38,                 1.3155,                0.54242,                 1.1985,                 0.9248,                0.97368,                0.95052,                0.48707,                  1.688,                0.60248,                 1.4268,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3075,                0.55804,                 1.1955,                0.91805,                0.95816,                0.93803,                0.47583,                 1.6978,                 0.6269,                 1.4488,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2876,                0.53546,                 1.1881,                0.91867,                0.96612,                0.94223,                0.51561,                 1.6062,                0.58952,                 1.3742,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3068,                0.54041,                 1.2041,                 0.9126,                0.97368,                0.95452,                0.45061,                 1.7532,                0.60986,                    1.5,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2961,                0.53723,                 1.1978,                0.88469,                0.91447,                0.86668,                0.38703,                 1.9295,                0.67256,                 1.6462,               0.001208,               0.001208,               0.001208
                     43,                 1.2753,                0.53455,                 1.1942,                  0.913,                0.94737,                0.92803,                0.44118,                 1.7962,                 0.6492,                 1.5077,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2728,                0.52063,                 1.1895,                0.89415,                0.94737,                0.92426,                0.40328,                  1.886,                0.65783,                 1.6025,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2558,                0.52402,                 1.1815,                0.91248,                0.96711,                0.93008,                0.46293,                 1.7524,                0.62911,                 1.4912,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2629,                 0.5187,                 1.1741,                0.91925,                0.97362,                0.94551,                0.46313,                 1.7277,                0.60586,                 1.4733,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2474,                0.51202,                 1.1714,                0.89787,                0.94737,                0.93216,                0.47476,                 1.6952,                0.66189,                 1.4585,               0.001109,               0.001109,               0.001109
                     48,                 1.2385,                0.50174,                 1.1624,                0.90081,                  0.956,                0.91698,                0.47729,                 1.6761,                0.62787,                 1.4488,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2333,                0.51393,                 1.1623,                0.91279,                0.96399,                0.91329,                0.44805,                 1.7204,                0.63912,                 1.4838,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.225,                0.50021,                 1.1669,                0.90645,                0.95623,                0.91322,                0.42204,                  1.855,                0.66223,                 1.6072,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2306,                0.49582,                 1.1516,                0.88729,                0.93228,                0.88544,                0.40591,                 1.9519,                0.65415,                 1.6896,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2467,                0.49396,                 1.1721,                0.90059,                0.95365,                0.92278,                 0.4261,                 1.8548,                0.64524,                 1.5705,                0.00101,                0.00101,                0.00101
                     53,                 1.2262,                0.49666,                 1.1533,                0.91647,                0.93837,                0.92832,                0.44187,                 1.7843,                0.66412,                 1.5391,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2075,                0.49141,                 1.1486,                0.92855,                0.96711,                0.93772,                0.44931,                 1.7577,                0.62243,                 1.5098,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2008,                 0.4831,                 1.1418,                0.89668,                0.93421,                0.89541,                0.42139,                 1.8532,                0.65156,                 1.5899,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2014,                0.48489,                 1.1486,                0.90573,                0.94079,                0.91003,                0.40085,                 1.9095,                0.64369,                 1.6558,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1912,                0.48126,                 1.1381,                 0.8898,                0.95616,                0.91671,                0.43152,                 1.7655,                0.63867,                 1.5159,               0.000911,               0.000911,               0.000911
                     58,                  1.164,                0.48094,                 1.1251,                0.88375,                 0.9003,                0.88399,                0.36814,                 1.9756,                0.73127,                  1.693,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1757,                 0.4769,                 1.1343,                0.91864,                0.96564,                0.92892,                0.43306,                 1.7903,                0.62428,                 1.5356,              0.0008714,              0.0008714,              0.0008714
