                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.48,                 3.0994,                 6.7483,                 1.0782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2579,                 2.7487,                 6.5847,                0.97218,                 0.0006,                 0.0006,                 0.0006
                      2,                 2.3087,                 2.6875,                 4.6065,                 1.0046,                0.00144,                0.09701,                0.00536,                0.00194,                0.00148,                 0.0995,                0.00506,                0.00213,                 2.6267,                 3.2903,                 5.8218,                 1.0305,              0.0012152,              0.0012152,              0.0012152
                      3,                  2.333,                 2.7647,                  3.967,                 1.0316,                0.65867,                0.06965,                0.19671,                0.06193,                0.42343,                0.04478,                0.10419,                0.02872,                 2.6956,                 3.0277,                 3.9681,                 1.0641,              0.0018254,              0.0018254,              0.0018254
                      4,                 2.3329,                 2.6963,                  3.189,                 1.0436,                0.50284,                0.32587,                0.32526,                0.09422,                0.38108,                0.25622,                 0.2073,                0.04834,                 2.5817,                 2.9277,                 2.8602,                 1.0489,              0.0019762,              0.0019762,              0.0019762
                      5,                 2.3197,                 2.6442,                 2.6925,                  1.026,                0.44299,                0.10199,                0.13921,                0.04172,                0.31333,                0.07214,                0.07227,                0.02309,                 2.8597,                 3.8976,                 3.1659,                 1.0705,              0.0019762,              0.0019762,              0.0019762
                      6,                 2.1835,                 2.5838,                 2.2029,                 0.9981,                0.42172,                0.26866,                0.25265,                0.07506,                0.29333,                0.17164,                0.11488,                0.02641,                 2.7146,                 3.6624,                 2.5063,                 1.0659,              0.0019683,              0.0019683,              0.0019683
                      7,                  2.185,                 2.5469,                 1.9805,                0.98801,                0.43982,                0.42786,                0.37286,                0.13051,                0.42812,                0.35323,                0.29587,                0.09057,                 2.4072,                 2.7411,                 1.9001,                 1.0068,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.1647,                 2.5113,                 1.8319,                0.99381,                0.42355,                 0.3806,                0.31532,                0.09547,                0.26512,                0.28607,                0.17205,                0.04427,                 2.6155,                 3.4953,                 1.9099,                 1.0326,              0.0019525,              0.0019525,              0.0019525
                      9,                 2.2187,                 2.6033,                 1.7504,                0.98868,                0.30618,                0.33372,                0.23368,                0.07137,                0.20119,                0.22388,                 0.1144,                  0.032,                 2.7544,                 3.4635,                 2.1868,                  1.061,              0.0019446,              0.0019446,              0.0019446
                     10,                 2.1605,                 2.5599,                 1.6357,                  1.005,                0.49808,                 0.4801,                0.40963,                0.13825,                 0.4164,                 0.4005,                0.30559,                0.09197,                 2.4083,                 2.6493,                 1.7493,                0.98979,              0.0019366,              0.0019366,              0.0019366
                     11,                 2.1668,                 2.5007,                 1.5627,                0.97245,                0.55972,                0.47015,                0.48412,                0.16597,                0.40276,                 0.4026,                0.34131,                0.10682,                 2.3466,                 2.7525,                  1.707,                0.98818,              0.0019287,              0.0019287,              0.0019287
                     12,                 2.1366,                 2.5158,                 1.5048,                0.96866,                0.60384,                0.58458,                0.58133,                0.22007,                0.50909,                0.49502,                0.44674,                 0.1436,                 2.1575,                 2.5275,                 1.5133,                0.97381,              0.0019208,              0.0019208,              0.0019208
                     13,                 2.1201,                 2.4721,                 1.4571,                0.97915,                0.56622,                0.48507,                0.46672,                0.14039,                0.39332,                 0.3408,                0.26997,                0.06598,                 2.5359,                 2.7325,                 1.7172,                 1.0131,              0.0019129,              0.0019129,              0.0019129
                     14,                 2.0663,                 2.4333,                  1.432,                0.97198,                0.64961,                0.58572,                0.63592,                0.21622,                0.58244,                 0.4372,                0.48569,                0.13414,                 2.2544,                 2.6638,                 1.4278,                0.98376,               0.001905,               0.001905,               0.001905
                     15,                 2.0335,                 2.3937,                  1.368,                0.97179,                0.56266,                0.43284,                0.46936,                0.15936,                0.41068,                0.31592,                0.27359,                0.07718,                 2.5325,                 2.9237,                 1.7944,                 1.0045,               0.001897,               0.001897,               0.001897
                     16,                 2.0564,                 2.3737,                  1.342,                0.98742,                0.62214,                0.57749,                0.58906,                0.21279,                0.50796,                0.47015,                0.45015,                0.13096,                 2.2781,                 2.5991,                 1.4142,                0.97747,              0.0018891,              0.0018891,              0.0018891
                     17,                 2.0863,                 2.3969,                 1.3042,                0.95739,                0.68952,                0.63433,                0.65256,                0.23445,                0.57421,                0.50249,                0.50624,                0.15438,                 2.2738,                 2.4802,                 1.3698,                0.96454,              0.0018812,              0.0018812,              0.0018812
                     18,                 2.0165,                 2.3441,                 1.2534,                 0.9556,                0.68137,                0.63835,                0.63385,                0.22735,                0.52784,                0.50498,                0.45054,                0.13727,                 2.1886,                 2.4802,                 1.3399,                0.95833,              0.0018733,              0.0018733,              0.0018733
                     19,                 2.0436,                 2.3439,                  1.259,                0.96005,                0.65419,                 0.5995,                0.59896,                0.20797,                0.53627,                0.43532,                0.44076,                0.12671,                 2.3021,                 2.4312,                 1.4303,                0.96873,              0.0018654,              0.0018654,              0.0018654
                     20,                 2.0314,                  2.359,                 1.2549,                0.94465,                0.69035,                0.67413,                0.66459,                0.25874,                0.58033,                 0.5779,                0.52748,                0.17921,                 2.1501,                 2.4628,                 1.3415,                0.95807,              0.0018574,              0.0018574,              0.0018574
                     21,                 2.0458,                 2.3295,                 1.2637,                 0.9592,                0.76254,                0.56468,                0.66914,                0.25977,                0.66816,                0.41542,                0.46789,                0.15317,                 2.1534,                 2.6331,                 1.3485,                0.95353,              0.0018495,              0.0018495,              0.0018495
                     22,                 1.9616,                 2.3232,                 1.1975,                0.95039,                0.72066,                0.59683,                0.64662,                0.26011,                0.56292,                0.56468,                0.54786,                0.18541,                 2.1199,                 2.3599,                  1.418,                0.95354,              0.0018416,              0.0018416,              0.0018416
                     23,                 1.9903,                 2.3531,                 1.2175,                0.95211,                0.71283,                0.60697,                0.67959,                0.24385,                0.61157,                0.49502,                0.53337,                0.15656,                 2.1679,                 2.3678,                 1.2977,                0.95967,              0.0018337,              0.0018337,              0.0018337
                     24,                 2.0139,                  2.374,                 1.1991,                0.95739,                0.74159,                0.59967,                0.66824,                 0.2423,                0.58612,                0.48507,                0.49782,                0.14955,                 2.1616,                 2.4158,                 1.4123,                0.95329,              0.0018258,              0.0018258,              0.0018258
                     25,                 1.9504,                 2.2697,                 1.1608,                0.95181,                0.76608,                 0.6791,                0.72598,                0.28677,                0.64822,                0.57214,                 0.5617,                 0.1904,                 2.0825,                 2.3351,                 1.2579,                0.94468,              0.0018178,              0.0018178,              0.0018178
                     26,                 2.0489,                  2.403,                 1.2024,                0.95145,                0.76731,                0.64677,                0.71035,                  0.275,                0.66701,                0.56716,                0.58529,                0.19091,                 2.1116,                 2.4499,                  1.236,                0.95667,              0.0018099,              0.0018099,              0.0018099
                     27,                 1.9619,                 2.3022,                  1.156,                0.93888,                0.69559,                0.64925,                0.67989,                0.23721,                0.54164,                0.51244,                0.47215,                0.13587,                 2.2312,                 2.7104,                 1.3128,                  0.968,               0.001802,               0.001802,               0.001802
                     28,                 1.9913,                 2.3231,                 1.1659,                0.94827,                0.71868,                0.60697,                0.68659,                0.26529,                0.61333,                0.50498,                0.52606,                0.16181,                 2.2101,                 2.5198,                 1.4036,                0.96631,              0.0017941,              0.0017941,              0.0017941
                     29,                 1.9731,                 2.2882,                 1.1417,                0.95392,                0.73033,                0.66696,                0.70205,                0.26172,                0.67752,                0.56468,                0.58675,                0.19654,                   2.08,                 2.4636,                 1.2748,                0.95412,              0.0017862,              0.0017862,              0.0017862
                     30,                 1.9592,                 2.2713,                 1.1636,                0.93626,                0.72332,                0.69154,                0.72404,                0.26701,                 0.6031,                0.57463,                0.53645,                0.17107,                 2.1333,                 2.4667,                 1.2826,                0.95733,              0.0017782,              0.0017782,              0.0017782
                     31,                 1.9232,                 2.2652,                 1.1071,                0.93197,                0.71781,                0.64677,                0.68708,                0.27293,                0.63155,                0.53731,                0.55979,                0.18092,                 2.1529,                 2.5117,                 1.2752,                  0.953,              0.0017703,              0.0017703,              0.0017703
                     32,                 1.9387,                 2.2291,                 1.0747,                0.94799,                 0.7726,                 0.6791,                0.71716,                0.26891,                0.54225,                0.51493,                0.48257,                 0.1486,                 2.1841,                 2.5425,                 1.2278,                0.95598,              0.0017624,              0.0017624,              0.0017624
                     33,                 1.9673,                 2.2722,                 1.0956,                0.94399,                0.77297,                0.68603,                0.74098,                 0.2835,                0.64937,                 0.5597,                0.58448,                0.17776,                  2.119,                 2.3607,                 1.1599,                0.95152,              0.0017545,              0.0017545,              0.0017545
                     34,                 1.9535,                 2.2268,                 1.0923,                0.93151,                0.74947,                0.65487,                0.71751,                0.26805,                0.59585,                0.52488,                0.53981,                0.16803,                 2.1774,                 2.3175,                 1.2787,                0.95149,              0.0017466,              0.0017466,              0.0017466
                     35,                 1.9226,                 2.2143,                 1.0684,                0.94677,                0.77887,                0.62189,                0.69041,                0.27076,                0.62782,                    0.5,                0.51841,                  0.171,                 2.1393,                 2.5778,                 1.2911,                0.95185,              0.0017386,              0.0017386,              0.0017386
                     36,                 1.9409,                 2.1959,                 1.0807,                0.94075,                 0.7847,                0.65672,                0.72862,                0.27781,                0.60681,                0.51493,                 0.5242,                0.16773,                 2.1005,                 2.5571,                 1.2619,                0.95523,              0.0017307,              0.0017307,              0.0017307
                     37,                  1.916,                 2.2028,                 1.0374,                0.92394,                  0.605,                 0.4915,                0.48743,                0.15293,                0.36744,                0.29851,                0.21804,                0.05851,                 2.5928,                 3.1505,                 1.5221,                 1.0086,              0.0017228,              0.0017228,              0.0017228
                     38,                 1.9016,                 2.2646,                 1.0592,                0.93143,                0.70632,                0.64613,                0.68379,                0.24975,                0.51053,                 0.4801,                0.45292,                 0.1463,                 2.2722,                  2.556,                 1.3043,                0.96749,              0.0017149,              0.0017149,              0.0017149
                     39,                 1.9627,                 2.2361,                 1.0823,                0.93816,                0.72836,                0.69652,                0.71983,                0.28045,                0.59743,                0.54975,                0.52148,                0.18061,                 2.1595,                 2.3987,                 1.2025,                0.95514,               0.001707,               0.001707,               0.001707
                     40,                 1.8783,                 2.1828,                  1.022,                0.94167,                0.76672,                0.73881,                0.76535,                 0.3196,                0.60429,                0.58458,                0.57343,                0.19314,                 2.0369,                 2.4012,                 1.1311,                0.94746,               0.001699,               0.001699,               0.001699
                     41,                 1.8889,                 2.1909,                 1.0242,                0.93347,                 0.7301,                0.66915,                0.71819,                0.29575,                0.71658,                0.50498,                0.56946,                0.18831,                 2.1409,                 2.5781,                 1.1787,                0.95564,              0.0016911,              0.0016911,              0.0016911
                     42,                   1.89,                 2.2366,                 1.0483,                 0.9269,                0.82365,                0.70873,                0.77253,                0.30005,                0.70191,                 0.5916,                0.62145,                 0.1884,                 2.0937,                 2.3714,                 1.1311,                0.95173,              0.0016832,              0.0016832,              0.0016832
                     43,                 1.8332,                 2.1454,                0.98942,                 0.9301,                0.77067,                 0.6592,                0.71917,                0.28602,                0.58936,                0.51768,                0.51376,                 0.1651,                 2.1205,                 2.5492,                 1.1766,                0.95334,              0.0016753,              0.0016753,              0.0016753
                     44,                 1.9195,                 2.2187,                 1.0265,                0.93172,                0.80562,                0.69652,                0.76098,                0.31192,                0.67753,                0.56446,                0.57252,                0.18883,                 2.0929,                 2.3366,                 1.1486,                0.94947,              0.0016674,              0.0016674,              0.0016674
                     45,                 1.8981,                 2.2096,                0.99771,                0.93878,                0.78344,                0.68395,                0.74842,                0.29804,                0.64283,                0.54173,                0.58026,                0.17405,                  2.149,                 2.3872,                 1.2354,                0.95114,              0.0016594,              0.0016594,              0.0016594
