                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3122,                0.56399,                 1.2184,                 0.9118,                0.95213,                0.92133,                0.42132,                 1.8162,                0.63653,                 1.6707,              0.0075698,              0.0075698,              0.0075698
                     36,                 1.3306,                0.56511,                 1.2355,                0.88758,                0.94079,                0.88826,                0.44948,                 1.6594,                0.67772,                 1.5297,              0.0074347,              0.0074347,              0.0074347
                     37,                 1.3276,                0.56292,                 1.2205,                0.90508,                0.96053,                 0.9101,                0.45459,                  1.686,                0.62914,                 1.5445,              0.0072973,              0.0072973,              0.0072973
                     38,                 1.2997,                0.55281,                 1.2241,                0.89074,                0.96547,                0.90037,                0.43828,                 1.7102,                0.62802,                  1.568,              0.0071576,              0.0071576,              0.0071576
                     39,                 1.3225,                0.57156,                 1.2274,                0.89908,                0.96053,                0.90994,                0.44748,                 1.6647,                0.61516,                 1.5603,              0.0070159,              0.0070159,              0.0070159
                     40,                 1.3054,                0.55759,                 1.2231,                0.88861,                0.96053,                 0.8907,                0.43453,                 1.7228,                  0.659,                 1.5805,              0.0068722,              0.0068722,              0.0068722
                     41,                 1.2826,                0.54796,                 1.2164,                0.90135,                0.96183,                0.91765,                0.48717,                 1.6087,                0.58172,                 1.4852,              0.0067268,              0.0067268,              0.0067268
                     42,                  1.275,                0.53921,                  1.201,                 0.9133,                0.97019,                0.91205,                0.45231,                   1.63,                0.60439,                 1.5304,              0.0065796,              0.0065796,              0.0065796
                     43,                 1.2589,                0.52789,                 1.1921,                 0.9006,                0.96053,                 0.9053,                0.43142,                 1.7526,                0.62948,                 1.6202,               0.006431,               0.006431,               0.006431
                     44,                 1.2532,                0.52551,                 1.1908,                0.89357,                0.93906,                0.93083,                0.42833,                 1.8075,                0.63645,                 1.6679,               0.006281,               0.006281,               0.006281
                     45,                 1.2708,                0.51444,                  1.198,                0.88881,                0.94737,                0.90325,                0.42994,                 1.7896,                0.64245,                 1.6448,              0.0061298,              0.0061298,              0.0061298
                     46,                  1.244,                0.51624,                  1.191,                 0.8994,                0.94105,                0.89506,                0.41174,                 1.7612,                0.65549,                 1.6327,              0.0059775,              0.0059775,              0.0059775
                     47,                 1.2746,                0.52993,                 1.2175,                0.89486,                0.95193,                0.89639,                0.40889,                 1.7947,                0.64609,                 1.6903,              0.0058244,              0.0058244,              0.0058244
                     48,                  1.241,                0.52336,                 1.1856,                0.89501,                0.95341,                0.90367,                0.45072,                 1.7241,                 0.6297,                 1.6164,              0.0056704,              0.0056704,              0.0056704
                     49,                 1.2228,                0.49838,                 1.1794,                0.90117,                0.95983,                0.91326,                 0.4761,                  1.644,                0.59107,                 1.5554,              0.0055158,              0.0055158,              0.0055158
                     50,                 1.2093,                0.50354,                   1.17,                0.90728,                0.96569,                0.90939,                0.44777,                 1.7178,                0.59424,                  1.627,              0.0053608,              0.0053608,              0.0053608
                     51,                 1.2076,                0.49426,                 1.1709,                0.89463,                0.95395,                0.90143,                  0.426,                 1.7717,                0.63932,                 1.6683,              0.0052055,              0.0052055,              0.0052055
                     52,                 1.1957,                0.48672,                 1.1637,                0.89499,                0.95321,                0.89275,                0.43489,                 1.7058,                0.63482,                 1.6117,                0.00505,                0.00505,                0.00505
                     53,                 1.1749,                0.48001,                 1.1478,                 0.9062,                0.95395,                0.91535,                0.44004,                 1.7422,                0.63782,                 1.6353,              0.0048945,              0.0048945,              0.0048945
                     54,                 1.1659,                0.47378,                 1.1558,                0.86949,                0.92042,                0.84794,                0.39925,                 1.8429,                0.62586,                 1.7577,              0.0047392,              0.0047392,              0.0047392
                     55,                  1.187,                0.47712,                 1.1649,                0.88838,                0.94256,                0.86681,                0.38472,                 1.8021,                0.64088,                 1.7167,              0.0045842,              0.0045842,              0.0045842
                     56,                  1.164,                0.47209,                 1.1567,                0.90151,                0.94737,                0.88437,                0.43363,                 1.7126,                0.61711,                 1.6322,              0.0044296,              0.0044296,              0.0044296
                     57,                 1.1586,                 0.4657,                 1.1399,                0.88044,                0.93421,                0.88043,                0.42157,                  1.797,                0.63921,                 1.7375,              0.0042756,              0.0042756,              0.0042756
                     58,                  1.148,                0.46628,                 1.1366,                0.89989,                0.96053,                0.91218,                0.43583,                 1.8053,                0.62734,                 1.7007,              0.0041225,              0.0041225,              0.0041225
                     59,                 1.1495,                0.46456,                 1.1425,                0.89647,                0.92763,                0.89067,                0.41805,                 1.7684,                0.64836,                 1.6885,              0.0039702,              0.0039702,              0.0039702
                     60,                 1.1198,                0.45118,                 1.1111,                0.88726,                0.95395,                0.92839,                0.46005,                 1.7734,                0.61683,                 1.6966,               0.003819,               0.003819,               0.003819
                     61,                 1.1153,                0.44871,                 1.1168,                0.89993,                0.95395,                0.90609,                0.42722,                 1.8049,                0.62814,                 1.7238,               0.003669,               0.003669,               0.003669
                     62,                 1.0961,                0.44394,                 1.1141,                0.89464,                0.97368,                0.91571,                0.45428,                  1.727,                0.60968,                 1.6661,              0.0035204,              0.0035204,              0.0035204
                     63,                 1.1149,                0.45632,                 1.1261,                0.88934,                0.96053,                0.90686,                0.44292,                 1.7396,                0.61966,                 1.6686,              0.0033732,              0.0033732,              0.0033732
                     64,                 1.0977,                 0.4428,                 1.1096,                0.89954,                0.94737,                0.89397,                0.43643,                 1.7774,                0.62907,                 1.7197,              0.0032278,              0.0032278,              0.0032278
                     65,                 1.0775,                0.43286,                 1.1101,                0.88403,                0.95283,                0.87878,                0.42628,                  1.769,                0.60983,                 1.7298,              0.0030841,              0.0030841,              0.0030841
                     66,                 1.0881,                0.43543,                 1.1027,                0.90735,                0.96647,                0.91933,                0.46007,                 1.6951,                0.59333,                 1.6293,              0.0029424,              0.0029424,              0.0029424
                     67,                 1.0726,                 0.4354,                 1.1001,                0.90627,                0.96711,                0.92224,                0.43823,                 1.7612,                0.62427,                  1.708,              0.0028027,              0.0028027,              0.0028027
                     68,                 1.0419,                0.42359,                 1.0836,                0.89877,                0.94737,                0.90026,                0.45934,                 1.6803,                0.60268,                 1.6483,              0.0026653,              0.0026653,              0.0026653
                     69,                 1.0617,                0.42871,                 1.0949,                0.88129,                0.94079,                0.89202,                0.42825,                 1.8088,                0.63148,                 1.7916,              0.0025302,              0.0025302,              0.0025302
                     70,                 1.0499,                 0.4204,                 1.0875,                0.88857,                0.94737,                0.91207,                 0.4544,                 1.7582,                0.59791,                  1.718,              0.0023977,              0.0023977,              0.0023977
                     71,                 1.0126,                0.41527,                 1.0682,                0.87524,                0.92763,                0.87713,                0.43232,                  1.774,                0.62414,                  1.753,              0.0022677,              0.0022677,              0.0022677
                     72,                 1.0377,                0.42701,                 1.0819,                0.86661,                0.94031,                0.88106,                0.42302,                 1.7934,                0.63461,                  1.782,              0.0021405,              0.0021405,              0.0021405
                     73,                 1.0004,                0.41556,                 1.0654,                0.87434,                0.94079,                0.87215,                0.44005,                 1.7407,                0.62612,                 1.7391,              0.0020161,              0.0020161,              0.0020161
                     74,                 1.0112,                0.41594,                 1.0752,                0.89379,                0.95395,                0.88803,                0.44363,                 1.7439,                0.61055,                 1.7289,              0.0018948,              0.0018948,              0.0018948
                     75,                0.99121,                0.40685,                  1.059,                0.89903,                0.95395,                0.89004,                0.43178,                 1.7706,                0.61459,                 1.7635,              0.0017765,              0.0017765,              0.0017765
                     76,                0.98791,                0.40908,                 1.0578,                0.88774,                0.94737,                0.90711,                0.45338,                 1.7217,                0.60315,                 1.7107,              0.0016615,              0.0016615,              0.0016615
                     77,                0.99296,                0.39699,                 1.0665,                0.89517,                0.96053,                  0.911,                0.45009,                 1.7476,                0.60329,                 1.7224,              0.0015498,              0.0015498,              0.0015498
                     78,                0.95977,                0.39535,                 1.0478,                 0.8944,                0.95395,                0.90958,                0.44202,                 1.7719,                0.62368,                 1.7538,              0.0014416,              0.0014416,              0.0014416
                     79,                0.95942,                0.39327,                 1.0556,                0.90078,                0.96053,                0.92385,                0.47247,                 1.7207,                0.61553,                 1.7102,               0.001337,               0.001337,               0.001337
