                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5834,                 3.2973,                 1.3087,                0.01897,                0.98684,                0.92865,                0.43824,                 1.4892,                 3.1779,                 1.1502,               0.070526,              0.0032749,              0.0032749
                      2,                 1.4969,                 1.4095,                 1.2263,                 0.8748,                0.91447,                0.92755,                 0.4569,                 1.6347,                 1.1305,                 1.3075,               0.040461,              0.0065428,              0.0065428
                      3,                  1.498,                 1.4098,                 1.2354,                0.90748,                0.94079,                0.93714,                0.47728,                 1.5308,                 1.7558,                 1.2153,               0.010329,              0.0097447,              0.0097447
                      4,                 1.4823,                 1.3357,                 1.2116,                0.85629,                0.94078,                0.88884,                 0.4104,                 1.6694,                 1.1313,                 1.4217,               0.009703,               0.009703,               0.009703
                      5,                 1.4563,                 1.1913,                 1.2188,                0.77915,                0.88158,                0.88128,                0.42838,                 1.5648,                 1.5892,                 1.2489,               0.009703,               0.009703,               0.009703
                      6,                 1.4583,                 1.0601,                 1.2117,                0.89038,                0.90845,                0.92474,                0.49353,                 1.4888,                 1.1518,                 1.2479,               0.009604,               0.009604,               0.009604
                      7,                 1.4183,                 0.9724,                 1.1857,                0.85833,                0.56579,                0.69452,                0.34238,                 1.6444,                 1.9418,                 1.3729,               0.009505,               0.009505,               0.009505
                      8,                 1.4481,                 0.9394,                 1.2258,                0.85087,                0.93844,                0.89621,                0.43703,                 1.6004,                 1.0076,                 1.3097,               0.009406,               0.009406,               0.009406
                      9,                 1.4351,                 0.8801,                 1.2274,                0.78624,                0.89536,                0.83962,                0.38182,                 1.7154,                0.97738,                 1.4723,               0.009307,               0.009307,               0.009307
                     10,                 1.4275,                 0.8384,                 1.2291,                0.88462,                0.94079,                0.93738,                0.44589,                 1.7777,                0.86643,                 1.4782,               0.009208,               0.009208,               0.009208
                     11,                 1.4134,                0.81893,                 1.2297,                0.86463,                0.92105,                0.91015,                0.39187,                 1.7724,                 1.0369,                 1.4941,               0.009109,               0.009109,               0.009109
                     12,                 1.4225,                0.77994,                 1.2322,                0.87553,                0.92551,                0.89662,                0.47717,                 1.5197,                0.83434,                 1.3204,                0.00901,                0.00901,                0.00901
                     13,                 1.4037,                 0.7692,                 1.2259,                0.86108,                0.93789,                0.89445,                0.42505,                 1.6591,                0.88638,                 1.4079,               0.008911,               0.008911,               0.008911
                     14,                  1.393,                0.72964,                 1.2233,                0.86009,                0.93019,                0.87528,                0.36141,                 1.9261,                0.86041,                 1.6093,               0.008812,               0.008812,               0.008812
                     15,                 1.3986,                0.74231,                 1.2352,                0.90763,                0.96972,                 0.9336,                0.43465,                 1.7003,                0.83066,                 1.4785,               0.008713,               0.008713,               0.008713
                     16,                 1.4293,                 0.7328,                  1.253,                 0.8444,                0.92763,                0.85196,                0.37085,                 1.7672,                0.93691,                 1.5019,               0.008614,               0.008614,               0.008614
                     17,                 1.3916,                0.69698,                 1.2305,                0.86596,                0.85526,                0.88249,                0.34783,                 2.0041,                0.90253,                 1.6381,               0.008515,               0.008515,               0.008515
